combined_symptoms,disease_encoded
itching skin rash nodal skin eruptions dischromic patches,15
skin rash nodal skin eruptions dischromic patches,15
itching nodal skin eruptions dischromic patches,15
itching skin rash dischromic patches,15
itching skin rash nodal skin eruptions,15
skin rash nodal skin eruptions dischromic patches,15
itching nodal skin eruptions dischromic patches,15
itching skin rash dischromic patches,15
itching skin rash nodal skin eruptions,15
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
shivering chills watering from eyes,4
continuous sneezing chills watering from eyes,4
continuous sneezing shivering watering from eyes,4
continuous sneezing shivering chills,4
shivering chills watering from eyes,4
continuous sneezing chills watering from eyes,4
continuous sneezing shivering watering from eyes,4
continuous sneezing shivering chills,4
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
stomach pain ulcers on tongue vomiting cough chest pain,16
stomach pain acidity vomiting cough chest pain,16
stomach pain acidity ulcers on tongue cough chest pain,16
stomach pain acidity ulcers on tongue vomiting chest pain,16
stomach pain acidity ulcers on tongue vomiting cough,16
acidity ulcers on tongue vomiting cough chest pain,16
stomach pain ulcers on tongue vomiting cough chest pain,16
stomach pain acidity vomiting cough chest pain,16
stomach pain acidity ulcers on tongue cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching vomiting nausea loss of appetite abdominal pain yellowing of eyes,9
itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes,9
itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,9
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,9
itching vomiting yellowish skin nausea loss of appetite abdominal pain,9
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
itching stomach pain burning micturition spotting urination,14
itching skin rash burning micturition spotting urination,14
itching skin rash stomach pain spotting urination,14
itching skin rash stomach pain burning micturition,14
skin rash stomach pain burning micturition spotting urination,14
itching stomach pain burning micturition spotting urination,14
itching skin rash burning micturition spotting urination,14
itching skin rash stomach pain spotting urination,14
itching skin rash stomach pain burning micturition,14
vomiting loss of appetite abdominal pain passage of gases internal itching,33
vomiting indigestion abdominal pain passage of gases internal itching,33
indigestion loss of appetite abdominal pain passage of gases internal itching,33
vomiting loss of appetite abdominal pain passage of gases internal itching,33
vomiting indigestion abdominal pain passage of gases internal itching,33
vomiting indigestion loss of appetite passage of gases internal itching,33
vomiting indigestion loss of appetite abdominal pain internal itching,33
vomiting indigestion loss of appetite abdominal pain passage of gases,33
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
patches in throat high fever extra marital contacts,1
muscle wasting high fever extra marital contacts,1
muscle wasting patches in throat extra marital contacts,1
muscle wasting patches in throat high fever,1
muscle wasting patches in throat high fever extra marital contacts,1
muscle wasting patches in throat high fever extra marital contacts,1
patches in throat high fever extra marital contacts,1
muscle wasting high fever extra marital contacts,1
muscle wasting patches in throat high fever,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue weight loss lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness lethargy blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria,12
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
vomiting sunken eyes dehydration diarrhoea,17
sunken eyes dehydration diarrhoea,17
vomiting dehydration diarrhoea,17
vomiting sunken eyes diarrhoea,17
